====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 282, total numsteps: 28300, episode steps: 100, reward: -594.88
Episode: 283, total numsteps: 28400, episode steps: 100, reward: -33.42
Episode: 284, total numsteps: 28500, episode steps: 100, reward: -24.67
Episode: 285, total numsteps: 28600, episode steps: 100, reward: -549.78
Episode: 286, total numsteps: 28700, episode steps: 100, reward: -551.0
Episode: 287, total numsteps: 28800, episode steps: 100, reward: -582.55
Episode: 288, total numsteps: 28900, episode steps: 100, reward: -559.23
Episode: 289, total numsteps: 29000, episode steps: 100, reward: -566.63
Episode: 290, total numsteps: 29100, episode steps: 100, reward: -576.05
Episode: 291, total numsteps: 29200, episode steps: 100, reward: -570.56
Episode: 292, total numsteps: 29300, episode steps: 100, reward: -505.53
Episode: 293, total numsteps: 29400, episode steps: 100, reward: -558.2
Episode: 294, total numsteps: 29500, episode steps: 100, reward: -578.9
Episode: 295, total numsteps: 29600, episode steps: 100, reward: -581.69
Episode: 296, total numsteps: 29700, episode steps: 100, reward: -616.27
Episode: 297, total numsteps: 29800, episode steps: 100, reward: -36.21
Episode: 298, total numsteps: 29900, episode steps: 100, reward: -2.41
Episode: 299, total numsteps: 30000, episode steps: 100, reward: -614.38
Episode: 300, total numsteps: 30100, episode steps: 100, reward: -604.86
Episode: 301, total numsteps: 30200, episode steps: 100, reward: -515.87
Episode: 302, total numsteps: 30300, episode steps: 100, reward: -614.42
Episode: 303, total numsteps: 30400, episode steps: 100, reward: -610.06
Episode: 304, total numsteps: 30500, episode steps: 100, reward: -584.9
Episode: 305, total numsteps: 30600, episode steps: 100, reward: -610.96
Episode: 306, total numsteps: 30700, episode steps: 100, reward: -625.94
Episode: 307, total numsteps: 30800, episode steps: 100, reward: -617.67
Episode: 308, total numsteps: 30900, episode steps: 100, reward: -519.28
Episode: 309, total numsteps: 31000, episode steps: 100, reward: -618.02
Episode: 310, total numsteps: 31100, episode steps: 100, reward: -574.83
Episode: 311, total numsteps: 31200, episode steps: 100, reward: -24.52
Episode: 312, total numsteps: 31300, episode steps: 100, reward: -607.14
Episode: 313, total numsteps: 31400, episode steps: 100, reward: -612.63
Episode: 314, total numsteps: 31500, episode steps: 100, reward: -585.53
Episode: 315, total numsteps: 31600, episode steps: 100, reward: -2.61
Episode: 316, total numsteps: 31700, episode steps: 100, reward: -511.71
Episode: 317, total numsteps: 31800, episode steps: 100, reward: -577.47
Episode: 318, total numsteps: 31900, episode steps: 100, reward: -559.03
Episode: 319, total numsteps: 32000, episode steps: 100, reward: -585.06
----------------------------------------
Test Episodes: 30, Avg. Reward: -465.26 Avg. Success: 10.0 Std. Reward: 0.0
----------------------------------------
Episode: 320, total numsteps: 32100, episode steps: 100, reward: -622.34
Episode: 321, total numsteps: 32200, episode steps: 100, reward: -576.71
Episode: 322, total numsteps: 32300, episode steps: 100, reward: -618.24
Episode: 323, total numsteps: 32400, episode steps: 100, reward: -9.51
Episode: 324, total numsteps: 32500, episode steps: 100, reward: -12.04
Episode: 325, total numsteps: 32600, episode steps: 100, reward: -583.81
Episode: 326, total numsteps: 32700, episode steps: 100, reward: -523.41
Episode: 327, total numsteps: 32800, episode steps: 100, reward: -612.2
Episode: 328, total numsteps: 32900, episode steps: 100, reward: -609.1
Episode: 329, total numsteps: 33000, episode steps: 100, reward: -616.58
Episode: 330, total numsteps: 33100, episode steps: 100, reward: -613.37
Episode: 331, total numsteps: 33200, episode steps: 100, reward: -553.73
Episode: 332, total numsteps: 33300, episode steps: 100, reward: -536.84
Episode: 333, total numsteps: 33400, episode steps: 100, reward: -515.84
Episode: 334, total numsteps: 33500, episode steps: 100, reward: -445.67
Episode: 335, total numsteps: 33600, episode steps: 100, reward: -608.49
Episode: 336, total numsteps: 33700, episode steps: 100, reward: -618.91
Episode: 337, total numsteps: 33800, episode steps: 100, reward: -522.14
Episode: 338, total numsteps: 33900, episode steps: 100, reward: -599.39
Episode: 339, total numsteps: 34000, episode steps: 100, reward: -616.05
Episode: 340, total numsteps: 34100, episode steps: 100, reward: -615.95
Episode: 341, total numsteps: 34200, episode steps: 100, reward: -509.4
Episode: 342, total numsteps: 34300, episode steps: 100, reward: -6.64
Episode: 343, total numsteps: 34400, episode steps: 100, reward: -30.16
Episode: 344, total numsteps: 34500, episode steps: 100, reward: -614.95
Episode: 345, total numsteps: 34600, episode steps: 100, reward: -521.16
Episode: 346, total numsteps: 34700, episode steps: 100, reward: -613.57
Episode: 347, total numsteps: 34800, episode steps: 100, reward: -603.68
Episode: 348, total numsteps: 34900, episode steps: 100, reward: -543.32
Episode: 349, total numsteps: 35000, episode steps: 100, reward: -558.6
Episode: 350, total numsteps: 35100, episode steps: 100, reward: -608.52
Episode: 351, total numsteps: 35200, episode steps: 100, reward: -613.57
Episode: 352, total numsteps: 35300, episode steps: 100, reward: -34.52
Episode: 353, total numsteps: 35400, episode steps: 100, reward: -612.34
Episode: 354, total numsteps: 35500, episode steps: 100, reward: -514.4
Episode: 355, total numsteps: 35600, episode steps: 100, reward: -562.56
Episode: 356, total numsteps: 35700, episode steps: 100, reward: -620.78
Episode: 357, total numsteps: 35800, episode steps: 100, reward: -614.46
Episode: 358, total numsteps: 35900, episode steps: 100, reward: -31.23
Episode: 359, total numsteps: 36000, episode steps: 100, reward: -15.69
----------------------------------------
Test Episodes: 30, Avg. Reward: -467.0 Avg. Success: 20.0 Std. Reward: 0.0
----------------------------------------
Episode: 360, total numsteps: 36100, episode steps: 100, reward: -578.59
Episode: 361, total numsteps: 36200, episode steps: 100, reward: -597.5
Episode: 362, total numsteps: 36300, episode steps: 100, reward: -566.8
